,웹개발,,,,,,,
,,,,,,,,
,title,instructor,price,numoflectures,rating,review_writers,reviews,urls
8,워드프레스 기초부터 쇼핑몰까지 5시간 클래스,파워러닝,"220,000원",총 1회 5시간,5,['육영서'],['워드프레스에 대하여 전반적으로 알 수 있었고 재미있게 알려주셔서 잘 배울수 있었습니다. 최신테마와 기획하는 방법들에 대한 팁도 알 수 있어 도움이 되었습니다.\n좋은수업 감사합니다^^'],https://taling.me/Talent/Detail/22937
9,"웹, 서버, 데이터베이스를 혼자서 개발 가능하도록 해드립니다!",홍정민,"176,000원",총 4회 8시간,0,['-'],['-'],https://taling.me/Talent/Detail/16151
10,개발을 전혀 몰라도 개발자로 만들어 드립니다. 가능합니다.,홍정민,"240,000원",총 6회 12시간,0,['-'],['-'],https://taling.me/Talent/Detail/26355
11,[컴맹가능] 나만의 웹사이트 만들어 호스팅하기 [WEB/HTML/CSS],이정환,"192,000원",총 4회 12시간,0,['-'],['-'],https://taling.me/Talent/Detail/35881
12,단 하루만에 다 배우는 퍼블리싱! / 디자이너의 퍼블리싱 / 퍼블리셔로 취업하기,홍진우,"360,000원",총 4회 12시간,5,"[':-)', '유경', '김규남', '박서아', '정재훈']","['국비 지원 학원을 다니고 취업에 어찌저찌 성공했지만 생각보다 회사를 다니기에 어려움이 있어 혼자 공부를 하다가 튜터님의 강의를 듣게 되었습니다 일단 1대1 수업에 제가 어느정도 수준인지 알고 가르쳐주셔서 처음엔 쵸큼 민망?! 했지만 엄청 편하고 좋았습니다 부족한 부분을 쏙쏙 알려주시는게 좋았고 회사 다니신 경험을 바탕으로 팁도 많이 주셨습니다!! 덕분에 새로 취업하여 잘 다니고 있고 회사다니면서 가끔 궁금한점 물어봐도 답변 친절하게 잘 해주십니다 ㅎㅎ 정말 최고에용 ㅋㅋㅋ 솔직히 지금 드는 생각은 국비로 다니는건 시간이 아까웠다는 생각이 드네요 ㅠㅠ 아무튼 진짜 좋았습니당 ~~', '웹디자이너인데 좀더 심도있는 코딩을 배우고자 신청하게 되었어요. 개념정리부터 제대로 잡아주시고 실습을 통해 실질적으로 실력이 늘 수 있게 진행해주셨고 학원가서 배우는 것 보다 훨씬 실무적으로 도움되는 강의였습니다.', '안녕하세요.\n수업 배운 학생입니다. 단기간내로\n디자이너가 코딩 배우기에는 너무 적합한 수업이였어요. 프로세스도 잘 갖춰져있고\n일대일 수업방식에서 디테일하게 잘 설명해주셔서 실무에서도 유용하게 잘 쓰일거같아요\n잘알려주셔서 감사합니다', '친절하게 잘 알려주시구요! 궁금했던 부분들 정리해서 여쭤보고 답변도 잘 해주시구요!\n짧은 시간이지만 어떻게 활용하느냐에 따라\n수업의 질이 달라 질 것 같아요\n감사합니다.\n앞으로 궁금한게 생기고 한다면 연락 또 드릴게요☺️', '퍼블러셔를 희망하시는 취준생 및 이직 준비생 그리고 디자이너분들에게 꼭 추천 드리는 강의입니다.\n\n특히 튜터님께서 학생 눈높이에 맞추신 수업 준비 덕분에 저에게 필요했던 많은 부분들을 배워갈 수 있었던 시간이었습니다.\n\n또한 취준생이 어떤식으로 포트폴리오를 준비해야 하는지, 어느 방향으로 공부해야 하는지 친절하고 자세히 알려주셔서 취업을 준비하는데 있어서 많은 도움을 받았습니다.\n\n무엇보다 수업이 끝난 이후에도 포트폴리오 코드 리뷰를 통해 1회성이 아닌 수업 끝난 이후에도 방향성을 잡아주실 수 있어서 매우 감사했습니다.']",https://taling.me/Talent/Detail/22856
13,전문가와 함께 '내 프로젝트'를 해결하면서 배우는 퍼블리싱(HTML+CSS+JQUERY),langbo,"193,600원",총 4회 8시간,4.9,"['변다영', '이현우', '지윤정', '최지환', '김유정']","['제가 지금 속성으로 배워야하는 것들을 알차게 알려주시고\n제가 원하는 소통 프로그램까지 맞춰서 진행해주셨습니다~~', '웹퍼블리셔 준비중인데 엄청 꼼꼼하시고 생각햇던것보다 너뮤 절ㅏ잘 알려주셔고 유익한 수업 이였습니다~!', '부족했던 부분, 처음알게된 부분 모두 수강내내 귀찮게 질문해도 친절히 하나하나 잘 알려주시고 개인포폴 준비하는데 정말 많은 도움받았습니다 감사합니다! 벌써 수업마지막이라니 아쉽네요ㅠㅠ 그동안 너무 고생하셨고 감사했습니다^^', '혼자 코딩하면서 모르는 부분들이 많아서 수업을 신청하게 되었는데 1:1로 진행되는 수업이다보니 설명도 제 수준에 맞게 친절하게 잘해주시고 항상 도움이 많이 되는 수업입니다!', '코딩이 처음이라 막막했는데 도움이 많이 됐어요~최대한 많이 알려주려고 하셨고 친절하서 좋았어요. 많이 알아갑니다!']",https://taling.me/Talent/Detail/9838
14,20시간만에 웹퍼블리셔되기 (HTML5/CSS3/JS/Git),김태완,"264,000원",총 6회 12시간,5,"['박주영', '이예은', '백진희']","['웹퍼블리셔에 대한 기본 지식이 아무것도 없는 비전공자였는데, 기초이론부터 실무에서 사용하는 꿀팁들까지 많이 알려주셨습니다.\n따로 홈페이지를 만드는 과제도 해보고, 과제 중 어려운 부분에 대해서 여쭤보면 바로 답변주셔서 금방 터득할 수 있었어요!\n(홈페이지를 과연 만들 수 있을까 했는데 어찌저찌 만들어져서 매우 뿌듯...!)\n마지막 수업이 끝나고 난 뒤에는 이 후에 어떻게 공부하면 좋을지에 대한 꿀팁과 취업방향성에 대한 의견도 주셨습니다ㅠㅠㅠ감덩\n완전 아무것도 모르는 상태에서 가도 친절하게 잘 알려주시니, 저 같은 비전공자이신 분들에게는 적절한 수업인것같습니당:)\n6주라는 짧은 시간동안 많은 걸 배울수있어서 너무 알찬 시간이었습니다!', '수업을 신청하기 전에 비전공자 시점에서 강의를 진행하신다는 것을 보고 신청하게 됬어요~ 선생님께서 자료 준비도 많이 해오시고 수강자에 따라 필요한 기능들을 추가로 알려주시고\n도움될만한 팁을 많이 알려주셔서 좋았습니다. 알려주신 것을 기반으로 실제로 홈페이지를 계속 만들어나가야 실력이 좀 더 늘 것 같아요. 계속 쓰지 않으면 금방 까먹게 되더라구요. 짧은 시간 내에 많은 것을 하려니 시간이 촉박 하긴 했지만 그래도 홈페이지 내에서 수정하기 원하는 부분을 수정할 수 있게 되어서 만족합니다. 열정있는 선생님이니 배우고자 하는 의지에 따라 선생님께 많은 것을 배워갈 수 있어요. 추천합니다.', '코딩을 쌩판 몰랐었는데, 이 수업을 듣고 웹디자인에 재미를 느끼게 되었어요.!\n말그대로 비전공자의 눈높이에 맞춰서 html과 css를 배울 수 있게 기본 개념부터 차근차근 설명해 주셨는데, 어렵지 않게 웹디자인에 필요하고 중요한 기능들을 집어서 알려주셨어요.\n가장 좋았던 것은 10회 강의인데도 그 안에 스스로 웹사이트를 만들수 있도록 이끌어주셨고, 처음 배우는 비전공자가 알기 쉽게 충분히 설명하고, 매번 시범도 보여주셔서 더욱 이해하기 수월했습니다.\n\n튜터님이 ppt자료들을 아주 자세히 준비해오시고 간단한 설명후에\n직접 그자리에서 코딩을 배워볼수 있어서 매 수업을 들을때마다 아주 유익했어요! 모르는 것이 있으면 바로 피드백주셔서 덕분에 많은 것들을 배워갈 수 있었습니다. 예시같은 것도 직접 만들어서 나눠주시고, 마지막에는 웹디자인에 필요한 자료들을 한번에 모아서 보내주셨어요 정말 감사합니다~!~!!ㅠㅠ\n\n아 또한 회사웹사이트 이미지 관리라든지, 개인 웹사이트 만들기라든지, 개개인이 원하는 것에 맞춰서 성심성의껏 가르쳐주셔서 정말 많은 도움이 되었습니다.\n저처럼 코딩을 아예 모르지만, 웹디자인을 배워보고 싶고, 회사웹사이트를 직접 관리하고 싶은 분들께 추천합니다!!!ㅎㅎㅎ']",https://taling.me/Talent/Detail/11149
15,비전공자를 위한 웹사이트 레이아웃 기초,Inkweon Kim,"110,000원",총 1회 4시간,5,"['서정연', '남선미', 'Jiyeong', '선정우', '주희']","['아무것도 모르는 입문자였는데 친절하게 설명해주셔서 좋았습니다. 기초부터 하나하나 알려주시고 궁금한점을 대화하면서 잘알려주셨습니다. 감사합니다~^^', '웹의 구조를 이해하는데 큰 도움이 되었습니다. 산만하게 알던 지식을 구조화 하는데 꼭 필요한 강의였어요. 친절하고 꼼꼼한 강의 감사합니다!', '웹을 처음 입문하게 되었는데 이해가 쉽게 설명해주셨습니다! 실습위주로 진행해서 너무 만족스러웠고 자료 및 수업 내용을 알차게 준비해주셔서 감사했습니다! 저는 html과 css외에 자바스크립트도 추가적으로 수업 요청드렸는데 마찬가지로 질 높은 수업이였습니다 감사합니다!', '4시간 수업을 통해 맞춤형 수업으로 제가 궁금한 부분을 중심에 두고 수업 진행이 되어 만족스러웠습니다. 기획자로서 평소에 궁금했던 부분도 많이 해소되고 어렵지 않게 이해하기 쉬운 용어로 HTML과 CSS, 자바 스크립트를 거시적으로 때론 미시적으로 접근을 할 수 있었네요. 앞으로 들은 내용 바탕으로 살을 붙여 나가보겠습니다. 고생하셨습니다^^', '비전공자이고 입문하는 입장에서 어떻게 구조를 짜야하는지 어려움이 있어 수강했는데 만족했어요. 혼자하려면 너무 헷갈렸던 레이아웃 작업 개념을 정리할 수 있어서 좋았습니다. 궁금한 것들 질문도 많이했는데 막힘없이 친절하게 알려주셔서 감사합니다 입문자분들에게 추천드려요!!']",https://taling.me/Talent/Detail/2500
16,[티몬개발자/100만앱개발자] 10년차 개발자가 직접 알려주는 개발 공부법,정진만,"99,000원",총 1회 3시간,5,"['승환', '김상진', 'TonyStark']","['튜터님께서 경력 10년차 실무자로서 개발이 무엇인지 개념을 쉽게 알려주십니다. 그림을 그려서 비유를 들어서 자세히 쉽게 알려주셔서 이해하기 좋았습니다. 분야가 어떻게 이루어져있고 어떤쪽으로 가야할지 길을 자세히 알려주셔서 감을 잡을 수 있었고 무엇을 공부해야될지 친한 형처럼 편하게 알려주셔서 좋았습니다. 개발자로 준비하면서 든든한 조언자를 얻은것 같아 앞으로도 쭉 도움을 받고싶은 마음이 생기게 되었습니다^^ 무엇보다 수업 후 개인적인 질문시간도 충분히 주어서 궁금한점을 해결할수 있도록 수업 진행해 주신점 감사드립니다!', '비전공자로 프로그래밍에 입문하면서 가장 힘든 점은 주변에 프로그래밍 관련 종사자가 별로 없다는 것이었습니다. 그래서 제 현재 수준과 방향성에 대한 코칭이 필요하였고 튜터님의 코칭을 신청하였습니다. 실제 현업에 오래계셨던 만큼 개발에 있어서 중요한 점, 면접에서 어떤 질문을 하는지 등의 정보를 알 수 있었고 같이 이야기를 나누면서 지금 어떻게 공부해야할지 감을 잡아갈 수 있는 유익한 시간이었습니다.', '프로그래밍을 공부하기 위해 이것저것 혼자 알아봤을 때는 개발의 범주가 너무 넓어 어디서부터 시작해야할지 막막했었는데 수업 때 실제 개발 과정이 어떻게 이루어지는지부터 처음부터 하나하나 설명해주셔서 전체적인 흐름을 파악할 수 있어 좋았습니다. 각 과정마다 어떤 것에 중점을 두고 공부해야할지, 그리고 좋은 개발자가 되기 위해 갖춰야할 태도 등 뿐만 아니라 실질적으로 공부할 때 참고하면 많은 도움이 되는 팁들을 자세히 알려주셔서 앞으로의 목표와 학습방향을 설정하는데 많은 도움이 되었습니다. 다음에 더 공부해서 또 기회가 된다면 조언 부탁드릴 수 있도록 하겠습니다. 감사합니다!']",https://taling.me/Talent/Detail/14275
17,"디자이너를 위한 웹코딩개발교육(더 나은디자인, 더 나은 프로젝트를 위한​)",엄태성,"528,000원",총 4회 12시간,5,"['정선주', 'Hyun']","['이해하기 쉽게 강의해 주시고 모르는 부분에 대해서는 언제든지 설명해 주시려고 노력을 많이 하셨습니다.\n내가 많이 배우고자 하는 마음이 있다면 정말 많은 것을 배워갈 수 있는 기회가 되는 수업이었던 것 같아요.\n개발에 대해 너무 기초적으로 모르는 부분이 많아서 힘들었을때도 계속 수업에 따라갈 수 있게 가르쳐 주시려고 노력하셨습니다.\n앞으로도 이 수업을 계기로 개발자들과 소통하는데 좀 더 수월해 질 것 같아요. 그동안 고생 많으셨습니다.', '다른 수업 커리큘럼과 달리 전반적으로 배울 수 있고 반응형까지 배울 수 있는 수업 커리큘럼이 마음에 들어 신청했었습니다!\nHTML, CSS를 알고 있었음에도 세세한 점들이나 몰랐던 부분들을 많이 얻어갈 수 있었고 작업을 할 때 강사님이 모르는 부분은 어떻게 찾아서 해결해야하는지 잘 알려주셔서 감사했습니다! 수업시간이나 수업시간 외적으로도 모르는 점은 친절히 잘 알려주시고 해결해주셔서 본인이 얻고자 한다면 많이 얻어갈 수 있는 수업입니당!!!\n이 수업이후에 갑자기 회사에 일이 많아져서 개발이슈들도 처리하게 되었는데 그때 개발자들과 소통하는 일이나 간단한 개발코드들을 작성하고 수정하는 일에 많은 도움이 되었습니다!\n너무 초보자분만 아니라면 수업을 듣는데 무리가 없을 것 같습니다!\n강의 추천해요:)']",https://taling.me/Talent/Detail/10806
18,웹 개발자 초보 탈출하자!,박진선,"220,000원",총 5회 5시간,5,"['민동규', '혜슬조']","['너무 좋은 수업이었습니다.\n실습위주로 진행되기 때문에 아는부분에서 시간 낭비할 일도 없었고\n일반적인 학원에서는 듣지못할 꼼수(?)도 들었네요.\n\n질문도 잘 받아주십니다!! 추천!!', '의미있는시간이었습니다\n감사합니다']",https://taling.me/Talent/Detail/2744
19,IT 현직자가 알려주는 실전 JAVA ,Kim YeongJun,"660,000원",총 4회 12시간,4.2,"['yunjenna', 'Do-keon Oh']","['잘 들었습니다!', '강사님이 최선을 다해서 친절하게 알려주셨습니다. 자바 기초부터 시작해서 실제로 사용하고 있는 프로그램과 정보도 알려주시며 인생상담까지 친절하게 해주셨습니다. 돈이 아깝지 않았습니다. 꼭 들으십시오. 강력추천합니다.']",https://taling.me/Talent/Detail/5547
20,[ Front-end ] ReactJS로 만드는 웹서비스 - 프론트엔드,김성훈,"165,000원",총 2회 6시간,5,['화평정'],['짧은 시간이지만 많은 도움이 되었습니다. 강사분께서 많은 준비를 해오셔서 유익한 시간이었습니다.'],https://taling.me/Talent/Detail/3187
21,전 세계 유망 직업 1위) 프론트엔드 개발자를 꿈꾸는 사람들을 위한 맞춤형 원데이 클래스,김성훈,"66,000원",총 1회 3시간,5,['Juhyun Park'],['프로그래밍 쪽 수업은 처음 들어보기도 하고 용어가 너무 어려워보여서 미리 걱정을 많이 했었는데 튜터님께서 용어 하나하나가 어떻게 작용하는지에 대한 예시와 중간중간 잘 이해했는지 체크도 잘 해주셔서 쉽게 이해할 수 있었습니다. 특히 수업 마지막에 총 정리와 퀴즈로 오늘 가르쳐주신 내용을 점검해 주셔서 모호한 부분까지 정리가 잘 되었습니다. 첫 술에 배부를 순 없지만 첫 수업에 소소한 팁까지 알차게 잘 가르쳐 주셔서 너무 감사드립니다~다음 수업도 기대됩니다~^^'],https://taling.me/Talent/Detail/3141
22,nodejs+express+mysql을 활용한 API서버,허지훈,"440,000원",총 4회 16시간,5,['성호'],"['즉흥적으로 물어보는 질문도 많았고, 백엔드 프론트와 연동에 관한 질문도 많았는데 최대한 반영해주려고 노력해 주시는 모습에 너무 감사했어요.\n준비한 커리까지만 딱 끝내고 가시는게 아니라, 약속한 시간이 지나도 하나라도 더 알려주시려고 하시는 것도 완전 감동...\n\n물론 백엔드가 어렵기는 했어요. 이걸 혼자 했다면, 얼마나 헤맸을까 싶네요.\n하지만 많이 배우려는 만큼 많이 얻어가실 수 있을거예요.\n\n앞으로도 알고 지내고 싶을 정도로 인성도 너무 훌륭한 분~ 수업 감사했습니다!']",https://taling.me/Talent/Detail/16225
23,워드프레스 3시간 속성 마스터 - 원데이클래스,김명준,"115,500원",총 1회 3시간,5,['이상수'],['개인적으로 워드프레스 사용시 어려웠던 부분을 실제 제작을 같이하면서 쉽게 가르쳐 주셔서 매우 유익했어요.'],https://taling.me/Talent/Detail/20249
24,자바 (Java) 입문자를 프로그래밍 교육! 고수의 코딩! 수강생 맞춤 강의!,김종권,"435,600원",총 6회 18시간,5,['박우신'],['처음 자바책을 보면 처음보는 외국어로 쓰인 원서를 보는 기분이 들었습니다. 하지만 이 강의를 듣고서 혼자서도 공부할 자신감이 생겼습니다. JAVA의 책들을 보면 처음 볼때는 개념이 어렵고 난해합니다. 이 수업은 이러한 내용들을 여러번 반복설명해주기 때문에 수월한 이해를 도와줍니다.'],https://taling.me/Talent/Detail/13123
25,하루만에 끝내는 초스피드 나만의 웹만들기!(HTML/CSS/Jquery),변경원,"66,000원",총 1회 3시간,0,['-'],['-'],https://taling.me/Talent/Detail/8763
26,[현개발자]현업개발자에게서 듣는 자바뽀개기!!,신동열,"396,000원",총 4회 12시간,5,"['Timothy Lee', '한연희']","['과제 위주로 처음 수업을 진행 하였는데 꼼꼼하게 한줄 한줄 확인해주셨고, 설명도 깔끔하게 해 주셔서 정말 쉽게 이해 되었습니다. 조만간 다시 수업 부탁드릴 예정입니다~~^^ 감사합니다', '합리적인 가격에 자바를 공부할 수 있었어요!! 생활코딩 강의 목차에 따라 공부하고 있었는데 혼자 학습하기에는 양도 많고 잘 이해가 안 될 때도 있어서 튜터님께 수업을 의뢰했는데 정말 후회하지 않을 선택이었습니다:) 이제껏 들었던 강의는 반복문이나 조건문만 반복하고 심화 내용을 학습하지 못 해 수박 겉핥기 식으로 배웠다는 느낌이 있었는데 수업을 듣고 나니 객체지향 과 같은 뒷부분 까지 전체적으로 학습했다는 생각이 들어 알차고 실전적인 수업을 받았다는 걸 다시금 깨닫게 되네요:) 정말 감사합니다:)']",https://taling.me/Talent/Detail/1132
27,워드프레스 부디 공부하지 말고 그냥 쓰세요 !~,Sangok  Kim,"132,000원",총 3회 6시간,5,"['유인애', '박다래', '신유희']","['궁금한것들 미리 리스트업해갔는데, 여러 꿀팁이랑 쏙쏙 핵심들로 잘 알려주셨어요 !\n제가 일정상 3시간 2회로 요청드렸는데, 긴 수업시간에도 끝까지 하나라도 더 알려주시려고 더 보여주시고 넘 감사했습니다 ㅠㅠ\n쌤 덕분에 워드프레스를 알아갑니다 복습열심히할게요 감사합니다~~', '워드프레스 1도 모르는 초짜였는데 친절히 가르쳐주시고 너무 감사했습니다.', '수업받은지는 좀 되었는데, 뒤늦게 리뷰를 쓰게 되었어요.\n워드프레스가 뭔지는 잘 모르지만 일단 배워보자 해서 시작했는데, 거의 컴맹이라 강사님이 좀 힘드셨을 듯 해요^^\n그래도 친절하게 잘 가르쳐주셔서 감사합니다. 한번 두번 정도로는 수업이 끝나자마자 잊어버려서, 세번 정도 수업받으니까\n확실히 알겠더라구요. 앞으로 워드프레스로 블로그도 만들고, 웹사이트도 만들어서 저도 디노의 대열에 합류할까 합니다^^\n감사했습니다~']",https://taling.me/Talent/Detail/10372
28,맨땅 비전공자도 가능한 웹 프로그래밍 개발강의 ( A to Z ),김기현,"165,000원",총 2회 6시간,0,['-'],['-'],https://taling.me/Talent/Detail/12806
29,HTML/CSS 로 제대로 알고 만들자,Bok Gyun Mun,"264,000원",총 8회 16시간,0,['-'],['-'],https://taling.me/Talent/Detail/2516
30,HTML-CSS-Bootstrap-입문! 나만의 이력서만들기!,Se-Hong  Park,"330,000원",총 4회 12시간,0,['-'],['-'],https://taling.me/Talent/Detail/728
31,12시간만에 반응형웹 만들기 (HTML5 중급편),김태완,"290,400원",총 6회 12시간,0,['-'],['-'],https://taling.me/Talent/Detail/26411
